ՏԸՀ N,տեղամաս N,total,part_11,part_14,part_17,part_20
Թիվ 3 ԸԸՀ,24,1773,122,291,434,590
Թիվ 3 ԸԸՀ,25,1816,117,273,414,560
Թիվ 3 ԸԸՀ,26,1902,115,232,477,610
Թիվ 3 ԸԸՀ,27,1886,115,263,406,545
Թիվ 3 ԸԸՀ,28,1857,124,328,471,599
Թիվ 3 ԸԸՀ,29,1490,85,222,345,461
Թիվ 3 ԸԸՀ,30,1807,60,164,258,376
Թիվ 3 ԸԸՀ,31,898,37,64,106,176
Թիվ 3 ԸԸՀ,32,1600,111,250,370,455
,,,,,,
Ընդ.,32,56731,3694,8460,12785,17006
Թիվ 4 ԸԸՀ,1,1606,135,280,426,518
Թիվ 4 ԸԸՀ,2,1828,103,220,307,396
Թիվ 4 ԸԸՀ,3,1916,150,263,441,583
Թիվ 4 ԸԸՀ,4,1712,93,269,400,500
Թիվ 4 ԸԸՀ,5,1823,111,274,436,577
Թիվ 4 ԸԸՀ,6,1870,106,290,426,589
Թիվ 4 ԸԸՀ,7,1998,142,325,516,664
Թիվ 4 ԸԸՀ,8,1754,96,265,407,526
Թիվ 4 ԸԸՀ,9,1998,95,276,446,592
Թիվ 4 ԸԸՀ,10,1918,105,253,375,521
Թիվ 4 ԸԸՀ,11,1833,124,258,406,517
Թիվ 4 ԸԸՀ,12,1902,104,285,445,568
Թիվ 4 ԸԸՀ,13,1951,100,270,421,551
Թիվ 4 ԸԸՀ,14,1793,105,259,420,564
Թիվ 4 ԸԸՀ,15,1839,100,251,415,508
Թիվ 4 ԸԸՀ,16,1744,93,271,414,530
Թիվ 4 ԸԸՀ,17,1746,97,265,427,542
Թիվ 4 ԸԸՀ,18,1870,93,278,442,584
Թիվ 4 ԸԸՀ,19,1927,121,290,443,598
Թիվ 4 ԸԸՀ,20,1632,96,289,429,551
Թիվ 4 ԸԸՀ,21,1744,121,255,464,638
Թիվ 4 ԸԸՀ,22,1664,100,256,412,537
Թիվ 4 ԸԸՀ,23,1944,124,303,494,648
Թիվ 4 ԸԸՀ,24,1770,130,298,441,567
Թիվ 4 ԸԸՀ,25,1838,95,263,353,461
Թիվ 4 ԸԸՀ,26,1473,67,222,355,479
Թիվ 4 ԸԸՀ,27,1584,51,170,326,442
Թիվ 4 ԸԸՀ,28,1833,104,285,457,605
Թիվ 4 ԸԸՀ,29,1842,109,248,401,547
Թիվ 4 ԸԸՀ,30,1870,110,296,468,599
Թիվ 4 ԸԸՀ,31,1697,76,221,365,490
Թիվ 4 ԸԸՀ,32,1270,60,175,312,400
Թիվ 4 ԸԸՀ,33,1786,99,245,399,518
Թիվ 4 ԸԸՀ,34,1266,67,191,316,404
Թիվ 4 ԸԸՀ,35,1905,87,267,432,569
Թիվ 4 ԸԸՀ,36,1691,101,219,347,472
Թիվ 4 ԸԸՀ,37,1723,104,257,380,543
Թիվ 4 ԸԸՀ,38,1223,104,252,355,450
Թիվ 4 ԸԸՀ,39,1596,100,260,377,515
Թիվ 4 ԸԸՀ,40,1806,105,270,415,562
Թիվ 4 ԸԸՀ,41,1861,103,262,413,560
