ՏԸՀ N,տեղամաս N,total,part_11,part_14,part_17,part_20
Թիվ 10 ԸԸՀ,32,1375,45,119,213,313
Թիվ 10 ԸԸՀ,33,1816,66,152,232,326
Թիվ 10 ԸԸՀ,34,1907,59,156,237,324
Թիվ 10 ԸԸՀ,35,1791,71,164,261,381
Թիվ 10 ԸԸՀ,36,1861,84,173,294,415
Թիվ 10 ԸԸՀ,37,1836,92,201,329,479
Թիվ 10 ԸԸՀ,38,1834,75,196,319,428
Թիվ 10 ԸԸՀ,39,1841,103,287,402,507
Թիվ 10 ԸԸՀ,40,1833,105,254,385,519
Թիվ 10 ԸԸՀ,41,1892,67,214,359,475
Թիվ 10 ԸԸՀ,42,1810,91,236,377,488
Թիվ 10 ԸԸՀ,43,1783,110,231,345,446
Թիվ 10 ԸԸՀ,44,1528,64,149,232,310
Թիվ 10 ԸԸՀ,45,1819,98,248,369,485
Թիվ 10 ԸԸՀ,46,1828,91,216,314,426
Թիվ 10 ԸԸՀ,47,1877,113,223,346,459
Թիվ 10 ԸԸՀ,48,1716,101,235,347,423
Թիվ 10 ԸԸՀ,49,1856,93,183,289,389
Թիվ 10 ԸԸՀ,50,1808,92,207,335,462
Թիվ 10 ԸԸՀ,51,452,26,42,69,130
Թիվ 10 ԸԸՀ,52,1916,102,235,366,525
Թիվ 10 ԸԸՀ,53,1848,119,256,389,570
Թիվ 10 ԸԸՀ,54,1967,115,235,319,488
Թիվ 10 ԸԸՀ,55,1882,109,246,351,537
,,,,,,
Ընդ.,55,97271,4926,11566,17706,23969
Ընդամենը,475,824250,47671,114759,176027,234553
