Մարզ,Բնակավայր,Նախկին,Ընտրատարածք,Ընտրատեղամաս,Հասցե
Երևան,Շենգավիթ,,8,8/48,"Երևանի հ. 142 մանկապարտեզ, Շիրակի 4 նրբ. 5/1"
Երևան,Շենգավիթ,,8,8/49,"Երևանի հ. 158 հիմնական դպրոց, Շիրակի 2 նրբ. 5"
Երևան,Շենգավիթ,,8,8/50,"Երևանի հ. 158 հիմնական դպրոց, Շիրակի 2 նրբ. 5"
Երևան,Շենգավիթ,,8,8/51,"Մասնավոր սեփականություն, ոչ բնակելի տարածք, Շիրակի 10/1"
Երևան,Շենգավիթ,,8,8/52,"Երևանի հ. 52 հիմնական դպրոց, Շիրակի 3"
Երևան,Շենգավիթ,,8,8/53,"Երևանի հ. 52 հիմնական դպրոց, Շիրակի 3"
Երևան,Շենգավիթ,,8,8/54,"Երևանի հ. 52 հիմնական դպրոց, Շիրակի 3"
Երևան,Շենգավիթ,,8,8/55,"Երևանի հ. 130 մանկապարտեզ, Ն.Չարբախ 3փ."
Երևան,Շենգավիթ,,8,8/56,"Երևանի հ. 130 մանկապարտեզ, Ն.Չարբախ 3փ.,"
Երևան,Շենգավիթ,,8,8/57,"Ոչ բնակելի տարածք, մասնավոր սեփականություն Արշակունյաց պ, 135 Ե, "
Երևան,Շենգավիթ,,8,8/58,"Երևանի հ. 98 հիմնական դպրոց, Նորագավիթ 1փ. 97"
Երևան,Շենգավիթ,,8,8/59,"Երևանի հ. 98 հիմնական դպրոց, Նորագավիթ 1փ. 97"
Երևան,Շենգավիթ,,8,8/60,"Երևանի հ. 140 հիմնական դպրոց, Նորագավիթ 1փ. 99 "
Երևան,Շենգավիթ,,8,8/61,"Երևանի հ. 140 հիմնական դպրոց, Նորագավիթ 1փ. 99"
Երևան,Շենգավիթ,,8,8/62,"Ոչ բնակելի շինություն, մասնավոր սեփականություն, Ն.Խարբերդ թաղամաս, 4-րդ փող., հ. 2"
Երևան,Շենգավիթ,,8,8/63,"Ոչ բնակելի շինություն, մասնավոր սեփականություն, Ն.Խարբերդ թաղամաս, 4-րդ փող., հ. 2 "
Երևան,Նորք-Մարաշ,,9,9/1,Ջրային հիմնահարցերի և հիդրոտեխնիկայի ինստիտուտ Ա. Արմենակյան 125
Երևան,Նորք-Մարաշ,,9,9/2,«Օլիմպոս» կրթահամալիր Գ. Հովսեփյան 6
Երևան,Նորք-Մարաշ,,9,9/3,"Ռ. Անդրեասյանի անվան երաժշ. դպրոց, Նորք 5 փողոց 29"
Երևան,Նորք-Մարաշ,,9,9/4,Արմենակյանի անվան թիվ 26 դպրոց Նորք 5 փողոց 51 
Երևան,Նորք-Մարաշ,,9,9/5,"Հ. 61 հիմն. դպրոց, Գ. Հովսեփյան 91"
Երևան,Նորք-Մարաշ,,9,9/6,Թիվ 157 դպրոց Նորքի 11 փողոց 62
Երևան,Կենտրոն,,9,9/7,"Նալբանդյանի անվան թիվ 33 դպրոց, Նար-Դոսի 38"
Երևան,Կենտրոն,,9,9/8,"Նալբանդյանի անվան թիվ 33 դպրոց, Նար-Դոսի 38"
Երևան,Կենտրոն,,9,9/9,"Նալբանդյանի անվան թիվ 33 դպրոց, Նար-Դոսի 38"
Երևան,Կենտրոն,,9,9/10,"Նալբանդյանի անվան թիվ 33 դպրոց, Նար-Դոսի 38"
Երևան,Կենտրոն,,9,9/11,"Թիվ 39 դպրոց, Ծխախոտագործների 1"
Երևան,Կենտրոն,,9,9/12,"Թիվ 39 դպրոց, Ծխախոտագործների 1"
Երևան,Կենտրոն,,9,9/13,"Թիվ 17 ՆՈՒՀ, Տիգրան Մեծի 36 ա"
Երևան,Կենտրոն,,9,9/14,"Խանջյանի անվան թ. 53 դպրոց, Տիգրան Մեծի 26ա"
Երևան,Կենտրոն,,9,9/15,"Թելմանի անվան թիվ 13 դպրոց, Արշակունյաց 20"
Երևան,Կենտրոն,,9,9/16,"Մայակովսկու անվան թիվ 7 դպրոց, Գր. Լուսավորիչ 7"
Երևան,Կենտրոն,,9,9/17,"Թիվ 4 ՆՈՒՀ, Գր. Լուսավորիչ 15/1 "
Երևան,Կենտրոն,,9,9/18,"Սպանդարյանի անվան, թիվ 24 դպրոց, Պարոնյան 3"
Երևան,Կենտրոն,,9,9/19,"Երևանի Տ.Շևչենկոյի անվան թիվ 42 դպրոց, Մաշտոցի 5/2"
Երևան,Կենտրոն,,9,9/20,"Երևանի Տ.Շևչենկոյի անվան թիվ 42 դպրոց, Մաշտոցի 5/2"
Երևան,Կենտրոն,,9,9/21,"Մուշեղ Իշխանի անվան թիվ 5 դպրոց, Բուզանդ 107"
Երևան,Կենտրոն,,9,9/22,"Անդրանիկ Մարգարյանի անվան թիվ 29 դպրոց, Սարյան 23"
Երևան,Կենտրոն,,9,9/23,"Անդրանիկ Մարգարյանի անվան թիվ 29 դպրոց, Սարյան 23"
Երևան,Կենտրոն,,9,9/24,"Շահումյանի անվան թիվ 1 դպրոց, Մաշտոցի 33ա"
Երևան,Կենտրոն,,9,9/25,"Երևանի թատրոնի և կինոյի պետ. ինստիտուտ, Ամիրյան 26"
Երևան,Կենտրոն,,9,9/26,"Չարենցի անվան թիվ 67 դպրոց, Ամիրյան 9"
Երևան,Կենտրոն,,9,9/27,"Թիվ 10 ՆՈՒՀ, Մաշտոցի 20"
Երևան,Կենտրոն,,9,9/28,"Ռուսթավելու անվան թիվ 23 դպրոց, Ռուսթավելու 14"
Երևան,Կենտրոն,,9,9/29,"Ռուսթավելու անվան թիվ 23 դպրոց, Ռուսթավելու 14"
Երևան,Կենտրոն,,9,9/30,"ՀԱԱՀ հիմնադրամ /Ագրարային համալսարան/, Տերյան 74"
Երևան,Կենտրոն,,9,9/31,"Հայաստանի պետական տնտեսագիտական համալսարան, Նալբանդյան 128-130"
Երևան,Կենտրոն,,9,9/32,"Ջ. Կիրակոսյանի անվան թ. 20 դպրոց, Այգեստան 9փ., 4ա"
Երևան,Կենտրոն,,9,9/33,"Խր. Հայրիկի անվան թ. 10 դպրոց, Չարենցի 75"
Երևան,Կենտրոն,,9,9/34,"Շավարշյանի անվան, թ. 40 դպրոց, Վարդանանց 30"
Երևան,Կենտրոն,,9,9/35,"Թիվ 3 ՆՈՒՀ, Վրացյան 80"
Երևան,Կենտրոն,,9,9/36,"Թիվ 3 ՆՈՒՀ, Վրացյան 80"
Երևան,Կենտրոն,,9,9/37,"Նար-Դոսի անվան թ. 14 դպրոց, Եր. Քոչարի 12/1"
Երևան,Կենտրոն,,9,9/38,"Նար-Դոսի անվան թ. 14 դպրոց, Եր. Քոչարի 12/1"
Երևան,Կենտրոն,,9,9/39,"Գ. Էմինի անվան թ. 182 դպրոց, Կորի 55 "
Երևան,Կենտրոն,,9,9/40,"Ն. Ստեփանյանի անվան թ.71 դպրոց, Հանրապետության 72"
Երևան,Կենտրոն,,9,9/41,"Դաշտենցի անվան թ. 114 դպրոց, Հանրապետության 73"
Երևան,Կենտրոն,,9,9/42,"Դաշտենցի անվան թ. 114 դպրոց, Հանրապետության 73"
Երևան,Կենտրոն,,9,9/43,"Լ. Շանթի անվան թ. 4 դպրոց, Ալ. Մանուկյան 3"
Երևան,Կենտրոն,,9,9/44,Խ. Աբովյանի անվան ՀՊՄՀ բանասիր. Ֆակուլտետ Ալ. Մանուկյան 13
Երևան,Կենտրոն,,9,9/45,"Խնկո Ապոր անվան գրադարան, Տերյան 42/1"
Երևան,Կենտրոն,,9,9/46,"Թիվ 5 ՆՈՒՀ, Սխարովի 11"
Երևան,Կենտրոն,,9,9/47,"Չայկովսկու անվան երաժշտական դպրոց, Կողբացի 36"
Երևան,Կենտրոն,,9,9/48,"Պուշկինի անվան թ. 8 դպրոց, Մոսկովյան 17"
Երևան,Կենտրոն,,9,9/49,"Ն. Աղբալյանի անվան թ. 19 դպրոց, Տերյան 54"
Երևան,Կենտրոն,,9,9/50,"Ն. Աղբալյանի անվան թ. 19 դպրոց, Տերյան 54"
Երևան,Կենտրոն,,9,9/51,"Խ. Աբովյանի անվան թ. 2 դպրոց, Իսահակյան 30"
Երևան,Կենտրոն,,9,9/52,"Աբեղյանի անվան թ. 3 դպրոց, Խանջյան 9"
Երևան,Կենտրոն,,9,9/53,"ՀՊՄՀ–ի հենակետային վարժարան, Դեղատան 17"
Երևան,Կենտրոն,,9,9/54,"Երևանի թենիսի և բատմինտոնի մանկապատանեկան մարզադպրոց, Այասու փող. 12"
Երևան,Կենտրոն,,9,9/55,"Վ. Վաղարշյանի անվան թ. 80 դպրոց, Իսակովի 2/1"
Երևան,Կենտրոն,,9,9/56,"Հիդրոպոնիկայի պրոբլ. ինստ., Նորագյուղ 108"
Երևան,Կենտրոն,,9,9/57,"Հիդրոպոնիկայի պրոբլ. ինստ., Նորագյուղ 108"
Երևան,Կենտրոն,,9,9/58,"Գրողների միության վարչություն, Բաղրամյան 3"
Երևան,Կենտրոն,,9,9/59,"Գրողների միության վարչություն, Բաղրամյան 3"
Երևան,Կենտրոն,,9,9/60,"Չեխովի անվան թ. 55 դպրոց, Բաղրամյան 16"
Երևան,Էրեբունի,,10,10/1,Վահան Տերյանի անվան հ. 60 դպրոց Տ. Մեծի պող. N 42
Երևան,Էրեբունի,,10,10/2,"Բենիամին Ժամկոչյանի անվան թիվ 119 դպրոց, Տ. Մեծի պող. N 64 "
Երևան,Էրեբունի,,10,10/3,Խաչատուր Սամուելյանի անվան թիվ 47 միջնակարգ դպրոց Սարի Թաղի 5-րդ փող. N 67
Երևան,Էրեբունի,,10,10/4,Խաչատուր Սամուելյանի անվան թիվ 47 միջնակարգ դպրոց Սարի Թաղի 5-րդ փող. N 67
Երևան,Էրեբունի,,10,10/5,Համո Սահյանի անվան հ.70 հիմնական դպրոց Սարի Թաղի 3-րդ փող. N 44
Երևան,Էրեբունի,,10,10/6,Համո Սահյանի անվան հ.70 հիմնական դպրոց Սարի Թաղի 3-րդ փող. N 44
Երևան,Էրեբունի,,10,10/7,թիվ 66 մանկապարտեզ Սարի Թաղի 7-րդ փող. N 15
Երևան,Էրեբունի,,10,10/8,Հ.167 հիմնական դպրոց Սարի Թաղի 28-րդ փող. N 1
Երևան,Էրեբունի,,10,10/9,Հ. 120 հիմնական դպրոց Մ. Խորենացու փող. N 207
Երևան,Էրեբունի,,10,10/10,Հ. 120 հիմնական դպրոց Մ. Խորենացու փող. N 207
Երևան,Էրեբունի,,10,10/11,"Մասնավոր տարածք, Սասունցի Դավթի փող. 13շ. հ.72"
Երևան,Էրեբունի,,10,10/12,Վրեժ Համբարձումյանի անվան հ.17 հիմնական դպրոց Ս. Դավթի փող. N 78
Երևան,Էրեբունի,,10,10/13,Վրեժ Համբարձումյանի անվան հ.17 հիմնական դպրոց Ս. Դավթի փող. N 78
Երևան,Էրեբունի,,10,10/14,Էրեբունի-Մաքրություն ՍՊԸ Դավիթ Բեկի փող. N 106
Երևան,Էրեբունի,,10,10/15,Արմեն Հովհաննիսյանի անվան հ.194 հիմնական դպրոց Նոր Արեշի 7-րդ փող. N 1
Երևան,Էրեբունի,,10,10/16,Արմեն Հովհաննիսյանի անվան հ.194 հիմնական դպրոց Նոր Արեշի 7-րդ փող. N 1
Երևան,Էրեբունի,,10,10/17,"Ավետիք Իսահակյանի անվան հ.16 ավագ դպրոց, Նոր Արեշի 9-րդ փող. N 54"
Երևան,Էրեբունի,,10,10/18,"թիվ 63 մանկապարտեզ, Արցախի փող. հ.1"
Երևան,Էրեբունի,,10,10/19,"թիվ 63 մանկապարտեզ, Արցախի փող. հ.1"
Երևան,Էրեբունի,,10,10/20,Նախկին թիվ 18 մանկապարտեզ Արցախի պող. N 6/1
Երևան,Էրեբունի,,10,10/21,Գյուղատնտեսական քոլեջ Բուռնազյան փող. N 143
Երևան,Էրեբունի,,10,10/22,թիվ 3 ՄՊՍԿ Էրեբունու փող. N 15
Երևան,Էրեբունի,,10,10/23,թիվ 3 ՄՊՍԿ Էրեբունու փող. N 15
Երևան,Էրեբունի,,10,10/24,Էրեբունու շախմատի դպրոց Նոր Արեշի 5-րդ փող. N 2
Երևան,Էրեբունի,,10,10/25,Արա Հարությունյանի անվան հ.49 հիմնական դպրոց Նոր Արեշի 5-րդ փող. N2
Երևան,Էրեբունի,,10,10/26,Տ.Չուխաջյանի անվան երաժշ. դպրոց Ռոստովյան փող. N 23
Երևան,Էրեբունի,,10,10/27,թիվ 69 մանկապարտեզ Նոր Արեշի 11-րդ փող. N 139
Երևան,Էրեբունի,,10,10/28,Հ.64 հիմնական դպրոց Վարդաշենի 3-րդ փող. N 3
Երևան,Էրեբունի,,10,10/29,Հ.64 հիմնական դպրոց Վարդաշենի 3-րդ փող. N 3
Երևան,Էրեբունի,,10,10/30,թիվ 70 մանկապարտեզ Վարդաշենի 6-րդ փող. N 80
Երևան,Էրեբունի,,10,10/31,թիվ 101 դպրոց Մուշական թաղամաս 6-րդ փողոց 29
Երևան,Էրեբունի,,10,10/32,թիվ 107 դպրոց Ջրաշեն թաղ. 1-ին փող. 41 շենք
Երևան,Էրեբունի,,10,10/33,Թիվ 68 մանկապարտեզ Նոր Արեշի 37փ. N 35
Երևան,Էրեբունի,,10,10/34,Պարույր Սևակի անվան հ.123 հիմնական դպրոց Նոր Արեշի 35-րդ փող. N 2
Երևան,Էրեբունի,,10,10/35,Պարույր Սևակի անվան հ.123 հիմնական դպրոց Նոր Արեշի 35-րդ փող. N 2
Երևան,Էրեբունի,,10,10/36,Հ.45 հիմնական դպրոց Նոր Արեշի 26-րդ փող. N 45
Երևան,Էրեբունի,,10,10/37,Հ.45 հիմնական դպրոց Նոր Արեշի 26-րդ փող. N 45
Երևան,Էրեբունի,,10,10/38,Մուշեղ Մխոյանի անվան հ.68 հիմնական դպրոց Նոր Արեշի 8-րդ փող. N 56
Երևան,Էրեբունի,,10,10/39,Մուշեղ Մխոյանի անվան հ.68 հիմնական դպրոց Նոր Արեշի 8-րդ փող. N 56
Երևան,Էրեբունի,,10,10/40,Նիկոլայ Գոգոլի անվան հ.35 հիմնական դպրոց Էրեբունու փող. N 16
Երևան,Էրեբունի,,10,10/41,Նիկոլայ Գոգոլի անվան հ.35 հիմնական դպրոց Էրեբունու փող. N 16
Երևան,Էրեբունի,,10,10/42,Հասմիկ Հովակիմյան Ա/Ձ տարածք Գարեգին Նժդեհի փող. հ.58
Երևան,Էրեբունի,,10,10/43,«Հայտրանսշին» Արցախի պող. N 30
Երևան,Էրեբունի,,10,10/44,թիվ 64 մանկապարտեզ Ավանեսովի փող. նրբ. N 12
Երևան,Էրեբունի,,10,10/45,թիվ 160 դպրոց Ավանեսովի փող. N 10
Երևան,Էրեբունի,,10,10/46,թիվ 160 դպրոց Ավանեսովի փող. N 10
Երևան,Էրեբունի,,10,10/47,թիվ 72 մանկապարտեզ Խաղաղ Դոնի փող. N 21
Երևան,Էրեբունի,,10,10/48,թիվ 73 մանկապարտեզ Խաղաղ Դոնի փող. N 5
Երևան,Էրեբունի,,10,10/49,Հ.178 հիմնական դպրոց Խաղաղ Դոնի փող. N 25
Երևան,Էրեբունի,,10,10/50,Հ.178 հիմնական դպրոց Խաղաղ Դոնի փող. N 25
Երևան,Նուբարաշեն,,10,10/51,"«Երևանի Նուբարաշեն մարզամշակութային կենտրոն» ՀՈԱԿ, Նուբարաշեն 9 փ., 1/2 շենք"
Երևան,Նուբարաշեն,,10,10/52,«Երեխայի և ընտանիքի աջակցության կենտրոն» ՊՈԱԿ Չնքուշի փողոց 14
Երևան,Նուբարաշեն,,10,10/53,«Երեխայի և ընտանիքի աջակցության կենտրոն» ՊՈԱԿ Չնքուշի փողոց 14
Երևան,Նուբարաշեն,,10,10/54,"«Երևանի թիվ 175 միջնակարգ դպրոց» ՊՈԱԿ, Նուբարաշեն 11 փողոց, 2"
Երևան,Նուբարաշեն,,10,10/55,"«Երևանի թիվ 175 միջնակարգ դպրոց» ՊՈԱԿ, Նուբարաշեն 11 փողոց, 2 "
